Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,first_name,last_name,full_name,picture_link
145,145,145,145,1642346,Ryan,Dunn,Ryan Dunn,https://cdn.nba.com/headshots/nba/latest/1040x760/1642346.png
146,146,146,146,201142,Kevin,Durant,Kevin Durant,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
147,147,147,147,1631105,Jalen,Duren,Jalen Duren,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png
148,148,148,148,1631106,Tari,Eason,Tari Eason,https://cdn.nba.com/headshots/nba/latest/1040x760/1631106.png
149,149,149,149,1641744,Zach,Edey,Zach Edey,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png
150,150,150,150,1630162,Anthony,Edwards,Anthony Edwards,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
151,151,151,151,1642399,Jesse,Edwards,Jesse Edwards,https://cdn.nba.com/headshots/nba/latest/1040x760/1642399.png
152,152,152,152,1642348,Justin,Edwards,Justin Edwards,https://cdn.nba.com/headshots/nba/latest/1040x760/1642348.png
153,153,153,153,1630556,Kessler,Edwards,Kessler Edwards,https://cdn.nba.com/headshots/nba/latest/1040x760/1630556.png
154,154,154,154,1642407,Boogie,Ellis,Boogie Ellis,https://cdn.nba.com/headshots/nba/latest/1040x760/1642407.png
155,155,155,155,1631165,Keon,Ellis,Keon Ellis,https://cdn.nba.com/headshots/nba/latest/1040x760/1631165.png
156,156,156,156,203954,Joel,Embiid,Joel Embiid,https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png
157,157,157,157,1642401,Aaron,Estrada,Aaron Estrada,https://cdn.nba.com/headshots/nba/latest/1040x760/1642401.png
158,158,158,158,1629234,Drew,Eubanks,Drew Eubanks,https://cdn.nba.com/headshots/nba/latest/1040x760/1629234.png
159,159,159,159,1641787,Tosan,Evbuomwan,Tosan Evbuomwan,https://cdn.nba.com/headshots/nba/latest/1040x760/1641787.png
160,160,160,160,203957,Danté,Exum,Danté Exum,https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png
161,161,161,161,1628981,Bruno,Fernando,Bruno Fernando,https://cdn.nba.com/headshots/nba/latest/1040x760/1628981.png
162,162,162,162,1642499,Max,Fiedler,Max Fiedler,https://cdn.nba.com/headshots/nba/latest/1040x760/1642499.png
163,163,163,163,1642271,Kyle,Filipowski,Kyle Filipowski,https://cdn.nba.com/headshots/nba/latest/1040x760/1642271.png
164,164,164,164,1627827,Dorian,Finney-Smith,Dorian Finney-Smith,https://cdn.nba.com/headshots/nba/latest/1040x760/1627827.png
165,165,165,165,1641745,Adam,Flagler,Adam Flagler,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png
166,166,166,166,1642280,Trentyn,Flowers,Trentyn Flowers,https://cdn.nba.com/headshots/nba/latest/1040x760/1642280.png
167,167,167,167,1630201,Malachi,Flynn,Malachi Flynn,https://cdn.nba.com/headshots/nba/latest/1040x760/1630201.png
168,168,168,168,1631323,Simone,Fontecchio,Simone Fontecchio,https://cdn.nba.com/headshots/nba/latest/1040x760/1631323.png
169,169,169,169,1628368,De'Aaron,Fox,De'Aaron Fox,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png
170,170,170,170,1642402,Enrique,Freeman,Enrique Freeman,https://cdn.nba.com/headshots/nba/latest/1040x760/1642402.png
171,171,171,171,1641847,Andrew,Funk,Andrew Funk,https://cdn.nba.com/headshots/nba/latest/1040x760/1641847.png
172,172,172,172,1642277,Johnny,Furphy,Johnny Furphy,https://cdn.nba.com/headshots/nba/latest/1040x760/1642277.png
173,173,173,173,1629655,Daniel,Gafford,Daniel Gafford,https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png
174,174,174,174,1629636,Darius,Garland,Darius Garland,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
175,175,175,175,1630568,Luka,Garza,Luka Garza,https://cdn.nba.com/headshots/nba/latest/1040x760/1630568.png
176,176,176,176,1641718,Keyonte,George,Keyonte George,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png
177,177,177,177,1642273,Kyshawn,George,Kyshawn George,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png
178,178,178,178,202331,Paul,George,Paul George,https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png
179,179,179,179,201959,Taj,Gibson,Taj Gibson,https://cdn.nba.com/headshots/nba/latest/1040x760/201959.png
180,180,180,180,1630581,Josh,Giddey,Josh Giddey,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
181,181,181,181,1628385,Harry,Giles III,Harry Giles III,https://cdn.nba.com/headshots/nba/latest/1040x760/1628385.png
182,182,182,182,1628983,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
183,183,183,183,1630264,Anthony,Gill,Anthony Gill,https://cdn.nba.com/headshots/nba/latest/1040x760/1630264.png
184,184,184,184,1631221,Collin,Gillespie,Collin Gillespie,https://cdn.nba.com/headshots/nba/latest/1040x760/1631221.png
185,185,185,185,1631367,Jacob,Gilyard,Jacob Gilyard,https://cdn.nba.com/headshots/nba/latest/1040x760/1631367.png
186,186,186,186,203497,Rudy,Gobert,Rudy Gobert,https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png
187,187,187,187,1630692,Jordan,Goodwin,Jordan Goodwin,https://cdn.nba.com/headshots/nba/latest/1040x760/1630692.png
188,188,188,188,203932,Aaron,Gordon,Aaron Gordon,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png
189,189,189,189,201569,Eric,Gordon,Eric Gordon,https://cdn.nba.com/headshots/nba/latest/1040x760/201569.png
190,190,190,190,1641789,Jazian,Gortman,Jazian Gortman,https://cdn.nba.com/headshots/nba/latest/1040x760/1641789.png
191,191,191,191,1628984,Devonte',Graham,Devonte' Graham,https://cdn.nba.com/headshots/nba/latest/1040x760/1628984.png
192,192,192,192,203924,Jerami,Grant,Jerami Grant,https://cdn.nba.com/headshots/nba/latest/1040x760/203924.png
193,193,193,193,1631260,AJ,Green,AJ Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png
194,194,194,194,203110,Draymond,Green,Draymond Green,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png
195,195,195,195,1630224,Jalen,Green,Jalen Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png
196,196,196,196,1629750,Javonte,Green,Javonte Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png
197,197,197,197,201145,Jeff,Green,Jeff Green,https://cdn.nba.com/headshots/nba/latest/1040x760/201145.png
198,198,198,198,1630182,Josh,Green,Josh Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1630182.png
199,199,199,199,1629656,Quentin,Grimes,Quentin Grimes,https://cdn.nba.com/headshots/nba/latest/1040x760/1629656.png
200,200,200,200,1631243,Mouhamed,Gueye,Mouhamed Gueye,https://cdn.nba.com/headshots/nba/latest/1040x760/1631243.png
201,201,201,201,1629060,Rui,Hachimura,Rui Hachimura,https://cdn.nba.com/headshots/nba/latest/1040x760/1629060.png
202,202,202,202,1630169,Tyrese,Haliburton,Tyrese Haliburton,https://cdn.nba.com/headshots/nba/latest/1040x760/1630169.png
203,203,203,203,1641790,PJ,Hall,PJ Hall,https://cdn.nba.com/headshots/nba/latest/1040x760/1641790.png
